STOCKCODE,PRODUCT_NAME,MEMBER_OFFER_INDICATOR,ONLINE_ONLY_MEMBER_OFFER_INDICATOR,PRICE,MEMBER_PRICE,SAVINGS_AMOUNT,LOYALTY_MULTIPLIER,PACKAGE_SIZE,PACKAGE_TYPE,PACK_FORMAT,BRAND,CATEGORY,SUBCATEGORY,ALCOHOL_VOLUME,DANS_MARKETPLACE,STOCK_AVAILABLE,PRODUCT_URL,POSTCODE,SCRAPE_DATE,FILENAME
104742,Riverland Dry Gin 500ml,N,N,58.99,,,,500ML,each,1,Needle And Pin,,,40%,N,Y,www.danmurphys.com.au/product/104742,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002950_10773-375,PX Navazos Gran Solera 25+ YO 375mL,N,N,0,,,,375ML,in any six,,Navazos,,,16.5%,Y,N,www.danmurphys.com.au/product/ER_1000002950_10773-375,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002950_10773-375,PX Navazos Gran Solera 25+ YO 375mL,N,N,161.7,,,,375ML,pack (3),3,Navazos,,,16.5%,Y,N,www.danmurphys.com.au/product/ER_1000002950_10773-375,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002950_10773-375,PX Navazos Gran Solera 25+ YO 375mL,N,N,647.88,,,,375ML,case (x),,Navazos,,,16.5%,Y,N,www.danmurphys.com.au/product/ER_1000002950_10773-375,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
104742,Riverland Dry Gin 500ml,N,N,58.99,,,,500ML,each,1,Needle And Pin,,,40%,N,Y,www.danmurphys.com.au/product/104742,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
104738,Sevilli Orange Gin 500mL,N,N,58.99,,,,500mL,each,1,Needle and Pin,,,39%,N,N,www.danmurphys.com.au/product/104738,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
290962,Australian Whisky 700ml,N,N,56.95,,,,700ML,each,1,Ned,,,40%,N,Y,www.danmurphys.com.au/product/290962,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002929_12NLTC,Tierracalar Tempranillo Joven 2020,N,N,0,,,,750mL,in any six,,Navarro Lopez,,,14%,Y,N,www.danmurphys.com.au/product/ER_1000002929_12NLTC,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002929_12NLTC,Tierracalar Tempranillo Joven 2020,N,N,20.65,,,,750mL,each,,Navarro Lopez,,,14%,Y,N,www.danmurphys.com.au/product/ER_1000002929_12NLTC,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002929_12NLTC,Tierracalar Tempranillo Joven 2020,N,N,123.8,,,,750mL,case (6),6,Navarro Lopez,,,14%,Y,N,www.danmurphys.com.au/product/ER_1000002929_12NLTC,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv

ER_1000004919_NATUREODRYMUSCAT,Dry Muscat,N,N,0,,,,750mL,in any six,,Natureo by Torres,,,0.5%,Y,N,www.danmurphys.com.au/product/ER_1000004919_NATUREODRYMUSCAT,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000004919_NATUREODRYMUSCAT,Dry Muscat,N,N,10,,,,750mL,each,,Natureo by Torres,,,0.5%,Y,N,www.danmurphys.com.au/product/ER_1000004919_NATUREODRYMUSCAT,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000004919_NATUREODRYMUSCAT,Dry Muscat,N,N,60,,,,750mL,case (6),6,Natureo by Torres,,,0.5%,Y,N,www.danmurphys.com.au/product/ER_1000004919_NATUREODRYMUSCAT,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002927_ERNFCBNV,Champagne Cuvée Brut,N,N,0,,,,750mL,in any six,,Nathalie Falmet,,,12.0%,Y,N,www.danmurphys.com.au/product/ER_1000002927_ERNFCBNV,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002927_ERNFCBNV,Champagne Cuvée Brut,N,N,79.99,,,,750mL,each,,Nathalie Falmet,,,12.0%,Y,N,www.danmurphys.com.au/product/ER_1000002927_ERNFCBNV,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000002927_ERNFCBNV,Champagne Cuvée Brut,N,N,480.28,,,,750mL,case (6),6,Nathalie Falmet,,,12.0%,Y,N,www.danmurphys.com.au/product/ER_1000002927_ERNFCBNV,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004379_01LLC19,Len's Legacy Chardonnay 2019,N,N,0,,,,750mL,in any six,,Nangarin Estate,,,13.3%,Y,N,www.danmurphys.com.au/product/ER_2000004379_01LLC19,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004379_01LLC19,Len's Legacy Chardonnay 2019,N,N,23.99,,,,750mL,per bottle,,Nangarin Estate,,,13.3%,Y,N,www.danmurphys.com.au/product/ER_2000004379_01LLC19,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004379_01LLC19,Len's Legacy Chardonnay 2019,N,N,143.94,,,,750mL,per case of 6,6,Nangarin Estate,,,13.3%,Y,N,www.danmurphys.com.au/product/ER_2000004379_01LLC19,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000004677_NAMYSLOW,Pils Cans 500mL,N,N,99.95,,,,568mL,case (24),24,Namyslow Polish,,,6.0%,Y,N,www.danmurphys.com.au/product/ER_1000004677_NAMYSLOW,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000004677_NAMYSLOW,Pils Cans 500mL,N,N,4.16,,,,568mL,per can,,Namyslow Polish,,,6.0%,Y,N,www.danmurphys.com.au/product/ER_1000004677_NAMYSLOW,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
215860,Lager Can 500mL,N,N,45.99,,,,500ML,case (16),16,Nam Nam Alley,,,4.5%,N,Y,www.danmurphys.com.au/product/215860,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
215860,Lager Can 500mL,N,N,19.49,,,,500ML,pack (4),4,Nam Nam Alley,,,4.5%,N,Y,www.danmurphys.com.au/product/215860,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
215860,Lager Can 500mL,N,N,5.99,,,,500ML,each (in-store),,Nam Nam Alley,,,4.5%,N,Y,www.danmurphys.com.au/product/215860,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
862240,Sauvignon Blanc,N,N,5,,,,750mL,in any six,1,Naked Vine,,,12.6%,N,N,www.danmurphys.com.au/product/862240,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
862240,Sauvignon Blanc,N,N,60,,,,750mL,case (12),12,Naked Vine,,,12.6%,N,N,www.danmurphys.com.au/product/862240,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
862240,Sauvignon Blanc,N,N,5,,,,750mL,each,1,Naked Vine,,,12.6%,N,N,www.danmurphys.com.au/product/862240,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004323_MOSCOW1HAMPER,Moscow Mule Hamper for One,N,N,179.95,,,,,each,1,Nala Hamper,,,,Y,Y,www.danmurphys.com.au/product/ER_2000004323_MOSCOW1HAMPER,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
565597,Blended Scotch Whisky 700mL,Y,N,64,64,9.99,,700mL," per bottle ",1,Naked Malt,,,40.0%,N,N,www.danmurphys.com.au/product/565597,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
565597,Blended Scotch Whisky 700mL,Y,N,73.99,64,9.99,,700mL,each,1,Naked Malt,,,40.0%,N,N,www.danmurphys.com.au/product/565597,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004236_75459038965,100% Pure and Organic,N,N,89,,,,100G,pack (5),5,Naked Acai,,,,Y,N,www.danmurphys.com.au/product/ER_2000004236_75459038965,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000004096_LIQ285,Chiebijin Junmai Ginjo 720mL,N,N,45.6,,,,720ML,each,1,Nakano Shuzo,,,16%,Y,Y,www.danmurphys.com.au/product/ER_1000004096_LIQ285,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000004096_LIQ285,Chiebijin Junmai Ginjo 720mL,N,N,0,,,,720ML,case (x),,Nakano Shuzo,,,16%,Y,Y,www.danmurphys.com.au/product/ER_1000004096_LIQ285,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000004096_LIQ285,Chiebijin Junmai Ginjo 720mL,N,N,0,,,,720ML,each (in-store),1,Nakano Shuzo,,,16%,Y,Y,www.danmurphys.com.au/product/ER_1000004096_LIQ285,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
917724,Bubbly  Poppin Pearls,N,N,15,,,,100G,each,1,NY Cocktails,,,,N,N,www.danmurphys.com.au/product/917724,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
129967,Seltzer Mango Pineapple 330mL,N,N,15.99,,,,1320ML,pack (4),4,Nosh,,,5%,N,N,www.danmurphys.com.au/product/129967,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
129967,Seltzer Mango Pineapple 330mL,N,N,89.99,,,,1320ML,case (24),24,Nosh,,,5%,N,N,www.danmurphys.com.au/product/129967,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
129967,Seltzer Mango Pineapple 330mL,N,N,4.99,,,,1320ML,each (in-store),,Nosh,,,5%,N,N,www.danmurphys.com.au/product/129967,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
