STOCKCODE,PRODUCT_NAME,MEMBER_OFFER_INDICATOR,ONLINE_ONLY_MEMBER_OFFER_INDICATOR,PRICE,MEMBER_PRICE,SAVINGS_AMOUNT,LOYALTY_MULTIPLIER,PACKAGE_SIZE,PACKAGE_TYPE,PACK_FORMAT,BRAND,CATEGORY,SUBCATEGORY,ALCOHOL_VOLUME,DANS_MARKETPLACE,STOCK_AVAILABLE,PRODUCT_URL,POSTCODE,SCRAPE_DATE,FILENAME
129966,Seltzer Peach 330mL,N,N,15.99,,,,7920ML,pack (4),4,Nosh,,,5%,N,N,www.danmurphys.com.au/product/129966,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
129966,Seltzer Peach 330mL,N,N,89.99,,,,7920ML,case (24),24,Nosh,,,5%,N,N,www.danmurphys.com.au/product/129966,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
129966,Seltzer Peach 330mL,N,N,4.99,,,,7920ML,each (in-store),,Nosh,,,5%,N,N,www.danmurphys.com.au/product/129966,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
158915,Boozy Seltzer Cola 330ml,N,N,19.99,,,,330mL,pack (4),4,NOSH,,,5%,N,N,www.danmurphys.com.au/product/158915,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
158915,Boozy Seltzer Cola 330ml,N,N,87.99,,,,330mL,case (24),24,NOSH,,,5%,N,N,www.danmurphys.com.au/product/158915,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
158915,Boozy Seltzer Cola 330ml,N,N,5.99,,,,330mL,each (in-store),,NOSH,,,5%,N,N,www.danmurphys.com.au/product/158915,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
192063,Premium Sake Cup 180mL,N,N,14.99,,,,180mL,each,1,NEKOSAKE,,,13.8%,N,Y,www.danmurphys.com.au/product/192063,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
192063,Premium Sake Cup 180mL,N,N,0,,,,180mL,case (30),30,NEKOSAKE,,,13.8%,N,Y,www.danmurphys.com.au/product/192063,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
192063,Premium Sake Cup 180mL,N,N,0,,,,180mL,in any six,1,NEKOSAKE,,,13.8%,N,Y,www.danmurphys.com.au/product/192063,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004329_47-126,Cup Ceramic Modern Logo - Genuine Authentic 11oz,N,N,35,,,,325ML,each,1,NASA Coffee Mug Tea,,,,Y,N,www.danmurphys.com.au/product/ER_2000004329_47-126,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000003442_9352510000287,Single Vineyard Wrattonbully Merlot 2015,N,N,0,,,,750mL,in any six,1,Merite,,,14.0%,Y,Y,www.danmurphys.com.au/product/ER_2000003442_9352510000287,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000003442_9352510000287,Single Vineyard Wrattonbully Merlot 2015,N,N,100,,,,750mL,each,1,Merite,,,14.0%,Y,Y,www.danmurphys.com.au/product/ER_2000003442_9352510000287,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000003442_9352510000287,Single Vineyard Wrattonbully Merlot 2015,N,N,600,,,,750mL,case (6),6,Merite,,,14.0%,Y,Y,www.danmurphys.com.au/product/ER_2000003442_9352510000287,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000003442_9352510000019,Ultra Wrattonbully Merlot 2015,N,N,0,,,,750mL,in any six,1,Merite,,,14%,Y,Y,www.danmurphys.com.au/product/ER_2000003442_9352510000019,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000003442_9352510000019,Ultra Wrattonbully Merlot 2015,N,N,130,,,,750mL,each,1,Merite,,,14%,Y,Y,www.danmurphys.com.au/product/ER_2000003442_9352510000019,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000003442_9352510000019,Ultra Wrattonbully Merlot 2015,N,N,780,,,,750mL,case (6),6,Merite,,,14%,Y,Y,www.danmurphys.com.au/product/ER_2000003442_9352510000019,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
82559,Single Vineyard Wrattonbully Cabernet,N,N,57,,,,750mL,in any six,1,Merite,,,14.50%,N,N,www.danmurphys.com.au/product/82559,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
82559,Single Vineyard Wrattonbully Cabernet,N,N,342,,,,750mL,case (6),6,Merite,,,14.50%,N,N,www.danmurphys.com.au/product/82559,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
82559,Single Vineyard Wrattonbully Cabernet,N,N,59.99,,,,750mL,each,1,Merite,,,14.50%,N,N,www.danmurphys.com.au/product/82559,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
72559,Single Vineyard Wrattonbully Shiraz Malbec,N,N,30.4,,,,750mL,in any six,1,Merite,,,14.0%,N,N,www.danmurphys.com.au/product/72559,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
72559,Single Vineyard Wrattonbully Shiraz Malbec,N,N,182.4,,,,750mL,case (6),6,Merite,,,14.0%,N,N,www.danmurphys.com.au/product/72559,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
72559,Single Vineyard Wrattonbully Shiraz Malbec,N,N,31.99,,,,750mL,each,1,Merite,,,14.0%,N,N,www.danmurphys.com.au/product/72559,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
210075,Rose 2021,N,N,22.8,,,,750mL,in any six,1,Mérite,,,13.20%,N,Y,www.danmurphys.com.au/product/210075,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
210075,Rose 2021,N,N,136.8,,,,750mL,case (6),6,Mérite,,,13.20%,N,Y,www.danmurphys.com.au/product/210075,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
210075,Rose 2021,N,N,23.99,,,,750mL,each,1,Mérite,,,13.20%,N,Y,www.danmurphys.com.au/product/210075,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
912029,Hellenic Lager 330mL,N,N,62.99,,,,330mL,case (24),24,Mythos,,,5%,N,Y,www.danmurphys.com.au/product/912029,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
912029,Hellenic Lager 330mL,N,N,23.49,,,,330mL,pack (6),6,Mythos,,,5%,N,Y,www.danmurphys.com.au/product/912029,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
912029,Hellenic Lager 330mL,N,N,5.49,,,,330mL,each (in-store),,Mythos,,,5%,N,Y,www.danmurphys.com.au/product/912029,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
249098,Moscato,N,N,7.6,,,,750ML,in any six,1,Mystic Moon,,,6.5%,N,Y,www.danmurphys.com.au/product/249098,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
249098,Moscato,N,N,45.6,,,,750ML,case (6),6,Mystic Moon,,,6.5%,N,Y,www.danmurphys.com.au/product/249098,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
249098,Moscato,N,N,8,,,,750ML,,1,Mystic Moon,,,6.5%,N,Y,www.danmurphys.com.au/product/249098,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004329_42001359,Water Drink Bottle BPA Free Jar - Black 1.89L,N,N,16.95,,,,1.89L,each,1,Myopure,,,,Y,N,www.danmurphys.com.au/product/ER_2000004329_42001359,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004890_SKU001,Classic Can 250mL,N,N,29,,,,250ML,pack (4),4,Mymosa,,,9%,Y,N,www.danmurphys.com.au/product/ER_2000004890_SKU001,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004890_SKU001,Classic Can 250mL,N,N,116,,,,250ML,case (16),16,Mymosa,,,9%,Y,N,www.danmurphys.com.au/product/ER_2000004890_SKU001,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004890_SKU001,Classic Can 250mL,N,N,0,,,,250ML,each (in-store),,Mymosa,,,9%,Y,N,www.danmurphys.com.au/product/ER_2000004890_SKU001,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
712912,Absinthe 500mL,N,N,89.99,,,,500mL,each,1,Mythe,,,48%,N,Y,www.danmurphys.com.au/product/712912,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000007835_JMJ7920,Chocolate Liqueur,N,N,65,,,,500mL,each,1,My Cioccolo,,,17%,Y,N,www.danmurphys.com.au/product/ER_1000007835_JMJ7920,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000007835_JMJ7920,Chocolate Liqueur,N,N,0,,,,500mL,,,My Cioccolo,,,17%,Y,N,www.danmurphys.com.au/product/ER_1000007835_JMJ7920,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000007835_JMJ7920,Chocolate Liqueur,N,N,0,,,,500mL,in any six,1,My Cioccolo,,,17%,Y,N,www.danmurphys.com.au/product/ER_1000007835_JMJ7920,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000007835_JMJ7910,Originale,N,N,74.9,,,,700mL,each,1,My Amaretto,,,28%,Y,N,www.danmurphys.com.au/product/ER_1000007835_JMJ7910,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000007835_JMJ7910,Originale,N,N,0,,,,700mL,case (X),,My Amaretto,,,28%,Y,N,www.danmurphys.com.au/product/ER_1000007835_JMJ7910,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000007835_JMJ7910,Originale,N,N,0,,,,700mL,in any six,1,My Amaretto,,,28%,Y,N,www.danmurphys.com.au/product/ER_1000007835_JMJ7910,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000005122_MUSASSYR22,Assyritko 2022,N,N,0,,,,750ML,in any six,,Muses,,,13%,Y,N,www.danmurphys.com.au/product/ER_2000005122_MUSASSYR22,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000005122_MUSASSYR22,Assyritko 2022,N,N,147,,,,750ML,pack (3),3,Muses,,,13%,Y,N,www.danmurphys.com.au/product/ER_2000005122_MUSASSYR22,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000005122_MUSASSYR22,Assyritko 2022,N,N,294,,,,750ML,case (6),6,Muses,,,13%,Y,N,www.danmurphys.com.au/product/ER_2000005122_MUSASSYR22,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
B999999000718,McLaren Vale Shiraz Pack,N,N,308,,,,750mL,bundle (6),1,Must Have,,,,N,N,www.danmurphys.com.au/product/B999999000718,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000003092_MF01FD-3,Lacrima Lui Ovidiu 2010,N,N,0,,,,750mL,in any six,1,Murfatlar 12 years,,,15%,Y,Y,www.danmurphys.com.au/product/ER_1000003092_MF01FD-3,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000003092_MF01FD-3,Lacrima Lui Ovidiu 2010,N,N,145,,,,750mL,each,1,Murfatlar 12 years,,,15%,Y,Y,www.danmurphys.com.au/product/ER_1000003092_MF01FD-3,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000003092_MF01FD-3,Lacrima Lui Ovidiu 2010,N,N,0,,,,750mL,case (X),,Murfatlar 12 years,,,15%,Y,Y,www.danmurphys.com.au/product/ER_1000003092_MF01FD-3,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000003092_MF02FN-1,3 Hectares Feteascã  Neagrã Black Maiden 2023,N,N,0,,,,700ML,in any six,1,Murfatlar,,,13%,Y,Y,www.danmurphys.com.au/product/ER_1000003092_MF02FN-1,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000003092_MF02FN-1,3 Hectares Feteascã  Neagrã Black Maiden 2023,N,N,33,,,,700ML,each,1,Murfatlar,,,13%,Y,Y,www.danmurphys.com.au/product/ER_1000003092_MF02FN-1,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000003092_MF02FN-1,3 Hectares Feteascã  Neagrã Black Maiden 2023,N,N,0,,,,700ML,case (x),,Murfatlar,,,13%,Y,Y,www.danmurphys.com.au/product/ER_1000003092_MF02FN-1,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
466791,Syrah,N,N,0,,,,750ML,in any six,1,Murdoch Hill,,,13.5%,N,Y,www.danmurphys.com.au/product/466791,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
466791,Syrah,N,N,0,,,,750ML,case (6),12,Murdoch Hill,,,13.5%,N,Y,www.danmurphys.com.au/product/466791,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
466791,Syrah,N,N,35.99,,,,750ML,each,1,Murdoch Hill,,,13.5%,N,Y,www.danmurphys.com.au/product/466791,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004911_WINES,Aussie Miniture Pack Gift Pack 187mL,N,N,0,,,,187ML,in any six,,Multiple Brands,,,14.5%,Y,N,www.danmurphys.com.au/product/ER_2000004911_WINES,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004911_WINES,Aussie Miniture Pack Gift Pack 187mL,N,N,39,,,,187ML,each,,Multiple Brands,,,14.5%,Y,N,www.danmurphys.com.au/product/ER_2000004911_WINES,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004911_WINES,Aussie Miniture Pack Gift Pack 187mL,N,N,99,,,,187ML,case (3),3,Multiple Brands,,,14.5%,Y,N,www.danmurphys.com.au/product/ER_2000004911_WINES,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004186_MUN001,Tequila 700mL,N,N,79,,,,700ML,each,1,Mundo,,,35%,Y,N,www.danmurphys.com.au/product/ER_2000004186_MUN001,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004186_MUN001,Tequila 700mL,N,N,474,,,,700ML,case (6),6,Mundo,,,35%,Y,N,www.danmurphys.com.au/product/ER_2000004186_MUN001,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004186_MUN001,Tequila 700mL,N,N,0,,,,700ML,in any six,1,Mundo,,,35%,Y,N,www.danmurphys.com.au/product/ER_2000004186_MUN001,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004323_MWKMULL,Mulled Wine Kit,N,N,29.95,,,,,each,1,Mullin,,,,Y,Y,www.danmurphys.com.au/product/ER_2000004323_MWKMULL,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000005162_750ML,Dark Rum 750mL,N,N,100,,,,750ML,each,1,Mullaperiyar,,,50%,Y,N,www.danmurphys.com.au/product/ER_2000005162_750ML,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000005162_750ML,Dark Rum 750mL,N,N,0,,,,750ML,case (x),,Mullaperiyar,,,50%,Y,N,www.danmurphys.com.au/product/ER_2000005162_750ML,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000005162_750ML,Dark Rum 750mL,N,N,0,,,,750ML,in any six,1,Mullaperiyar,,,50%,Y,N,www.danmurphys.com.au/product/ER_2000005162_750ML,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
642327,Ghiran Billi Shiraz 2014,N,N,24.7,,,,750mL,in any six,1,Mt Langi,,,14.2%,N,N,www.danmurphys.com.au/product/642327,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
642327,Ghiran Billi Shiraz 2014,N,N,148.2,,,,750mL,case (6),6,Mt Langi,,,14.2%,N,N,www.danmurphys.com.au/product/642327,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
642327,Ghiran Billi Shiraz 2014,N,N,25.99,,,,750mL,each,1,Mt Langi,,,14.2%,N,N,www.danmurphys.com.au/product/642327,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
672815,Blanco Tequila 750mL,N,N,59.88,,,,750mL,each,1,Mucha Liga,,,40.0%,N,N,www.danmurphys.com.au/product/672815,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000006695_MUKSS2017,Georgian Saperavi Shavkapito 2017,N,N,0,,,,750mL,in any six,1,Mukado,,,14%,Y,Y,www.danmurphys.com.au/product/ER_1000006695_MUKSS2017,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000006695_MUKSS2017,Georgian Saperavi Shavkapito 2017,N,N,76,,,,750mL,each,1,Mukado,,,14%,Y,Y,www.danmurphys.com.au/product/ER_1000006695_MUKSS2017,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000006695_MUKSS2017,Georgian Saperavi Shavkapito 2017,N,N,456,,,,750mL,case (6),6,Mukado,,,14%,Y,Y,www.danmurphys.com.au/product/ER_1000006695_MUKSS2017,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000005721_ME12380,Margi,N,N,30,,,,500mL,each,1,MR STUBBS,,,16%,Y,Y,www.danmurphys.com.au/product/ER_1000005721_ME12380,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000005721_ME12380,Margi,N,N,180,,,,500mL,case (6),6,MR STUBBS,,,16%,Y,Y,www.danmurphys.com.au/product/ER_1000005721_ME12380,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000005721_ME12380,Margi,N,N,0,,,,500mL,in any six,1,MR STUBBS,,,16%,Y,Y,www.danmurphys.com.au/product/ER_1000005721_ME12380,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000005721_ME12378,Espresso,N,N,30,,,,500mL,each,1,Mr. Stubbs,,,16%,Y,N,www.danmurphys.com.au/product/ER_1000005721_ME12378,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000005721_ME12378,Espresso,N,N,180,,,,500mL,case (6),6,Mr. Stubbs,,,16%,Y,N,www.danmurphys.com.au/product/ER_1000005721_ME12378,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_1000005721_ME12378,Espresso,N,N,0,,,,500mL,in any six,1,Mr. Stubbs,,,16%,Y,N,www.danmurphys.com.au/product/ER_1000005721_ME12378,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
ER_2000004867_9369998203802,Polishing Cloth,N,N,30,,,,7050,pack (3),3,Mr Sparkle Australia,,,,Y,N,www.danmurphys.com.au/product/ER_2000004867_9369998203802,5046,2025-03-31,danmurphys_2025-03-31_5046?.csv
